athlete,date,location,type,distance_mi,duration_h,moving_h,alt_median_ft,alt_gain_ft,temp_avg_f,avg_hr,max_hr,hr_p995,avg_w,np_w,kj,vi,ef,device_ftp,p5s,p1m,p5m,p10m,p20m,p60m,vo2_est,hr_at_120w,n_120,hr_at_150w,n_150,decoupling_pct,hrr60,hrr_from,hrr_n,cad_avg,cad_pct_ge85,pct_below_lt1,pct_aero_tempo,pct_threshold,pct_supra,has_power,file
JA,2026-04-18,Park City,MTB,18.0,2.29,1.71,6807.0,5075.0,61.0,165.0,182.0,181.0,159.0,203.0,1217.0,1.28,1.229,237.0,687.0,320.0,248.0,231.0,217.0,194.0,36.6,167.0,163,169.0,449,-5.4,15.0,176.0,8,74.0,24.0,5.0,13.0,23.0,60.0,1,2026-04-18 Park City MTB 18mi.fit
JA,2026-04-19,Park City,MTB,2.0,0.6,0.17,6636.0,3312.0,72.0,,,,45.0,144.0,96.0,3.2,,237.0,446.0,289.0,154.0,95.0,69.0,,25.3,,0,,0,,,,0,57.0,0.0,,,,,1,2026-04-19 Park City MTB 2mi.fit
JA,2026-04-20,Park City,MTB,18.0,2.2,1.69,6748.0,4951.0,77.0,166.0,182.0,181.0,141.0,178.0,1076.0,1.26,1.074,237.0,685.0,268.0,227.0,214.0,207.0,192.0,34.0,164.0,312,169.0,665,-12.6,19.0,168.0,7,72.0,15.0,4.0,15.0,21.0,59.0,1,2026-04-20 Park City MTB 18mi.fit
JA,2026-05-04,Park City,MTB,9.0,1.05,0.83,6658.0,3748.0,68.0,143.0,164.0,163.0,120.0,165.0,456.0,1.38,1.158,237.0,451.0,253.0,215.0,191.0,178.0,121.0,32.7,145.0,162,147.0,331,-13.3,,,0,64.0,7.0,35.0,56.0,9.0,0.0,1,2026-05-04 Park City MTB 9mi.fit
JA,2026-05-07,Park City,MTB,8.0,2.04,1.14,7702.0,4581.0,66.0,159.0,182.0,181.0,126.0,165.0,674.0,1.31,1.035,237.0,498.0,257.0,207.0,188.0,142.0,112.0,31.7,158.0,334,162.0,551,-11.2,21.0,166.0,7,65.0,7.0,3.0,29.0,43.0,25.0,1,2026-05-07 Park City MTB 8mi.fit
JA,2026-05-08,Park City,MTB,14.0,3.17,1.62,6798.0,5077.0,81.0,147.0,170.0,169.0,120.0,168.0,978.0,1.4,1.146,237.0,618.0,291.0,194.0,161.0,146.0,128.0,30.1,148.0,522,151.0,846,2.6,23.0,161.0,3,65.0,7.0,21.0,61.0,15.0,3.0,1,2026-05-08 Park City MTB 14mi.fit
JA,2026-05-19,Park City,MTB,13.0,2.03,1.57,6244.0,4349.0,63.0,142.0,168.0,166.0,119.0,156.0,862.0,1.31,1.101,237.0,629.0,261.0,185.0,174.0,162.0,147.0,29.1,144.0,635,145.0,1137,-3.1,25.0,156.0,3,68.0,9.0,36.0,56.0,8.0,1.0,1,2026-05-19 Park City MTB 13mi.fit
JA,2026-05-20,Park City,MTB,9.0,1.3,0.81,6773.0,3810.0,68.0,143.0,171.0,170.0,103.0,169.0,459.0,1.64,1.18,237.0,953.0,272.0,195.0,168.0,150.0,107.0,30.3,146.0,203,149.0,292,-0.2,32.0,159.0,4,65.0,14.0,35.0,51.0,13.0,2.0,1,2026-05-20 Park City MTB 9mi.fit
JA,2026-05-21,Park City,MTB,20.0,3.65,1.84,6964.0,5336.0,68.0,147.0,174.0,173.0,109.0,170.0,1095.0,1.56,1.158,237.0,813.0,341.0,196.0,173.0,141.0,104.0,30.4,146.0,562,149.0,858,8.1,30.0,166.0,6,65.0,11.0,24.0,54.0,15.0,6.0,1,2026-05-21 Park City MTB 20mi.fit
JA,2026-05-24,Park City,MTB,42.0,4.15,3.31,6459.0,4796.0,86.0,145.0,175.0,173.0,113.0,144.0,1571.0,1.27,0.996,237.0,657.0,241.0,204.0,186.0,181.0,166.0,31.3,146.0,1183,149.0,2188,-11.3,24.0,159.0,1,72.0,20.0,33.0,43.0,15.0,9.0,1,2026-05-24 Park City MTB 42mi.fit
