date,location,type,distance_mi,duration_h,alt_median_ft,alt_gain_ft,temp_avg_f,temp_max_f,avg_hr,max_hr,avg_w,np_w,if_,tss,vi,ef,hr_at_120w,n_120,hr_at_150w,n_150,adj_hr120,decoupling_pct,cad_avg,cad_pct_ge85,pct_below_lt1,pct_aero_tempo,pct_threshold,pct_supra,has_power,file
2026-05-30,Silver Rush Recon,?,33.0,7.3,10985.0,9852.0,,,147.0,175.0,95.0,146.0,,,1.54,0.997,147.0,1504,153.0,2920,120.0,-2.1,66.0,4.0,26.0,48.0,21.0,5.0,1,2026-05-30 Silver Rush Recon 33mi.fit
2026-06-01,Memphis,Road,30.0,2.17,308.0,714.0,84.0,90.0,131.0,145.0,,,,,,,,0,,0,,,,,96.0,4.0,0.0,0.0,0,2026-06-01 Memphis Road 30mi.fit
2026-06-02,Memphis,Road,40.0,2.85,293.0,849.0,73.0,81.0,128.0,146.0,,,,,,,,0,,0,,,,,97.0,3.0,0.0,0.0,0,2026-06-02 Memphis Road 40mi.fit
2026-06-08,Park City,MTB,41.0,6.09,8111.0,7358.0,64.0,77.0,146.0,184.0,128.0,166.0,0.701,256.2,1.3,1.137,145.0,898,138.0,3589,124.0,-6.0,73.0,17.0,33.0,40.0,15.0,12.0,1,2026-06-08 Park City MTB 41mi.fit
2026-06-10,Memphis,Road,23.0,1.71,295.0,594.0,86.0,90.0,137.0,151.0,,,,,,,,0,,0,,,,,59.0,41.0,0.0,0.0,0,2026-06-10 Memphis Road 23mi.fit
2026-06-13,Memphis,Road,7.0,0.5,282.0,332.0,84.0,90.0,153.0,181.0,,,,,,,,0,,0,,,,,29.0,14.0,20.0,37.0,0,2026-06-13 Memphis Road 7mi.fit
2026-06-14,Memphis,Road,42.0,3.19,291.0,940.0,79.0,82.0,137.0,157.0,,,,,,,,0,,0,,,,,55.0,45.0,0.0,0.0,0,2026-06-14 Memphis Road 42mi.fit
2026-06-16,Memphis,Road,32.0,2.2,308.0,720.0,79.0,86.0,136.0,178.0,,,,,,,,0,,0,,,,,70.0,27.0,0.0,3.0,0,2026-06-16 Memphis Road 32mi.fit
2026-06-17,Memphis,Road,56.0,4.11,312.0,1198.0,84.0,88.0,132.0,170.0,,,,,,,,0,,0,,,,,83.0,16.0,1.0,0.0,0,2026-06-17 Memphis Road 56mi.fit
2026-06-23,Memphis,Road,30.0,2.03,312.0,767.0,79.0,81.0,158.0,179.0,,,,,,,,0,,0,,,,,8.0,31.0,21.0,40.0,0,2026-06-23 Memphis Road 30mi.fit
2026-06-24,Memphis,Road,30.0,2.2,316.0,717.0,79.0,86.0,137.0,154.0,126.0,138.0,0.583,71.5,1.1,1.009,137.0,1599,139.0,1554,136.0,3.1,75.0,9.0,64.0,36.0,0.0,0.0,1,2026-06-24 Memphis Road 30mi.fit
2026-06-25,Memphis,Road,30.0,2.17,308.0,695.0,84.0,88.0,131.0,148.0,119.0,129.0,0.546,63.9,1.08,0.982,131.0,1627,136.0,1344,130.0,11.8,75.0,11.0,89.0,11.0,0.0,0.0,1,2026-06-25 Memphis Road 30mi.fit
2026-06-26,Memphis,Road,26.0,1.8,286.0,631.0,84.0,86.0,150.0,182.0,145.0,198.0,0.835,124.2,1.37,1.323,142.0,412,142.0,617,141.0,3.0,74.0,20.0,24.0,38.0,29.0,10.0,1,2026-06-26 Memphis Road 26mi.fit
2026-06-28,Memphis,Road,43.0,3.18,291.0,998.0,90.0,95.0,135.0,173.0,121.0,144.0,0.609,114.0,1.19,1.065,134.0,2199,138.0,2236,134.0,2.0,75.0,12.0,72.0,26.0,1.0,1.0,1,2026-06-28 Memphis Road 43mi.fit
2026-06-30,Memphis,Road,30.0,2.18,310.0,699.0,88.0,93.0,140.0,171.0,117.0,138.0,0.582,73.7,1.18,0.987,139.0,1605,142.0,1397,138.0,0.1,81.0,46.0,39.0,59.0,2.0,1.0,1,2026-06-30 Memphis Road 30mi.fit
2026-07-09,Bear Lake,MTB,18.0,1.77,5963.0,3806.0,90.0,95.0,146.0,180.0,112.0,159.0,0.67,79.0,1.42,1.09,140.0,1077,143.0,862,125.0,10.7,78.0,26.0,27.0,51.0,9.0,13.0,1,2026-07-09 Bear Lake MTB 18mi.fit
2026-07-13,Park City P2P Recon,MTB,47.0,9.57,7369.0,9059.0,88.0,111.0,156.0,179.0,112.0,165.0,0.695,355.0,1.47,1.058,161.0,1334,163.0,2578,142.0,-13.6,71.0,16.0,11.0,36.0,24.0,29.0,1,2026-07-13 Park City P2P Recon MTB 47mi.fit
2026-07-16,Memphis,Road,30.0,2.18,309.0,765.0,86.0,93.0,134.0,149.0,116.0,123.0,0.519,58.2,1.06,0.92,134.0,2235,137.0,1071,133.0,2.0,80.0,34.0,85.0,15.0,0.0,0.0,1,2026-07-16 Memphis Road 30mi.fit
2026-07-17,Memphis,Road,30.0,2.24,308.0,699.0,88.0,91.0,137.0,162.0,107.0,129.0,0.546,65.8,1.21,0.944,138.0,2137,140.0,510,137.0,6.7,85.0,73.0,68.0,31.0,1.0,0.0,1,2026-07-17 Memphis Road 30mi.fit
2026-07-20,Memphis Peloton,?,11.0,0.56,,,82.0,82.0,147.0,176.0,138.0,167.0,0.705,27.3,1.21,1.132,138.0,147,151.0,1031,,-2.2,88.0,89.0,19.0,69.0,7.0,5.0,1,2026-07-20 Memphis Peloton 11mi.fit
2026-07-21,Memphis,Road,30.0,2.28,310.0,732.0,86.0,93.0,141.0,182.0,100.0,128.0,0.539,65.6,1.28,0.908,141.0,1470,143.0,173,140.0,12.5,83.0,58.0,42.0,51.0,2.0,5.0,1,2026-07-21 Memphis Road 30mi.fit
